Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
505400,Texmaco Infrastructure & Holdings Ltd,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS Ltd,Active,B ,1.0,INE435C01024,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505412,Wendt (India) Ltd,WENDT,WENDT (INDIA) Ltd,Active,B ,10.0,INE274C01019,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
505502,PS IT Infrastructure & Services Limited,PSITINFRA,PS IT Infrastructure & Services Limited,Active,XT,10.0,INE953M01033,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
505504,GHV INFRA PROJECTS LIMITED,GHVINFRA,GHV Infra Projects Ltd,Active,XT,10.0,INE809Q01012,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505509,Responsive Industries Ltd,RESPONIND,RESPONSIVE INDUSTRIES Ltd,Active,B ,1.0,INE688D01026,Furniture- Home Furnishing,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505520,HEM Holdings and Trading Ltd,ZHEMHOLD,HEM HOLDINGS & TRADING Ltd,Active,XT,10.0,INE721U01011,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505523,Maharashtra Corporation Ltd,MAHACORP,MAHARASHTRA CORPORATION Ltd,Active,X ,1.0,INE272E01027,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505526,DOLAT ALGOTECH LIMITED,DOLATALGO,Dolat Algotech Ltd,Active,B ,1.0,INE966A01022,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,Westlife Foodworld Ltd,Active,A ,2.0,INE274F01020,Restaurants,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505537,Zee Entertainment Enterprises Ltd,ZEEL,ZEE ENTERTAINMENT ENTERPRISES Ltd,Active,A ,1.0,INE256A01028,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505585,Kovalam Inv. & Trading Co.Ltd,ZKOVALIN,KOVALAM INVESTMENT & TRADING CO.Ltd,Active,X ,10.0,INE735U01011,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505590,SVP GLOBAL TEXTILES LIMITED,SVPGLOB,SVP Global Textiles Ltd,Active,T ,1.0,INE308E01029,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505594,Multiplus Holdings Ltd,MULTIIN,MULTIPLUS HOLDINGS Ltd,Active,XT,10.0,INE886E01016,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505650,Skyline Millars Ltd,SKYLMILAR,SKYLINE MILLARS Ltd,Active,X ,1.0,INE178E01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505681,Bimetal Bearings Ltd,BIMETAL,BIMETAL BEARINGS Ltd-$,Active,X ,10.0,INE469A01019,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
505685,Taparia Tools Ltd,TAPARIA,TAPARIA TOOLS Ltd,Active,X ,10.0,INE614R01014,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505688,Bharat Gears Ltd,BHARATGEAR,BHARAT GEARS Ltd,Active,B ,10.0,INE561C01019,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505690,Brady & Morris Engineering Co. Ltd,BRADYM,BRADY & MORRIS ENGINEERING CO.Ltd,Active,X ,10.0,INE856A01017,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505693,La Tim Metal & Industries Limited,LATIMMETAL,La Tim Metal & Industries Ltd,Active,X ,1.0,INE501N01020,Trading - Metals,Equity,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505700,Elecon Engineering Co.Ltd,ELECON,ELECON ENGINEERING CO.Ltd,Active,A ,1.0,INE205B01031,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505710,Grauer & Weil (India) Ltd,GRAUWEIL,GRAUER & WEIL (INDIA) Ltd-$,Active,B ,1.0,INE266D01021,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505712,HIM TEKNOFORGE LIMITED,HIMTEK,Him Teknoforge Ltd,Active,X ,2.0,INE705G01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505714,Gabriel India Ltd,GABRIEL,GABRIEL INDIA Ltd-$,Active,A ,1.0,INE524A01029,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505720,Hercules Hoists Ltd,HERCULES,HERCULES HOISTS Ltd,Active,B ,1.0,INE688E01024,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505725,ALGOQUANT FINTECH LIMITED,AQFINTECH,Algoquant Fintech Ltd,Active,X ,2.0,INE598D01027,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505726,IFB Industries Limited,IFBIND,IFB INDUSTRIES Ltd,Active,B ,10.0,INE559A01017,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505729,Singer India Limited,SINGER,SINGER INDIA Ltd,Active,X ,2.0,INE638A01035,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505737,International Combustion (India) Lt,INTLCOMBQ,INTERNATIONAL COMBUSTION (INDIA) Ltd,Active,X ,10.0,INE403C01014,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505744,Federal-Mogul Goetze (India) Ltd,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) Ltd,Active,B ,10.0,INE529A01010,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505750,Josts Engineering Co. Ltd,JOSTS,JOST'S ENGINEERING CO.Ltd,Active,X ,1.0,INE636D01041,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,2.0,INE513A01022,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
505800,Rane Holdings Ltd,RANEHOLDIN,RANE HOLDINGS Ltd,Active,B ,10.0,INE384A01010,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505807,Rolcon Engineering Co. Ltd,ROLCOEN,ROLCON ENGINEERING CO.Ltd,Active,P ,10.0,INE775R01013,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505827,SNL Bearings Ltd,SNL,SNL BEARINGS Ltd,Active,X ,10.0,INE568F01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505840,Jaipan Industries Ltd,JAIPAN,JAIPAN INDUSTRIES Ltd,Active,X ,10.0,INE058D01030,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505850,Mangal Credit and Fincorp Limited,MANCREDIT,MANGAL CREDIT AND FINCORP Ltd,Active,B ,10.0,INE545L01039,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505854,TRF Ltd,TRF,TRF Ltd-$,Active,B ,10.0,INE391D01019,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
505872,WPIL Ltd,WPIL,WPIL Ltd,Active,B ,1.0,INE765D01022,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505890,Kennametal India Limtied,KENNAMET,KENNAMETAL INDIA Ltd-$,Active,B ,10.0,INE717A01029,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505893,HINDUSTAN HARDY LIMITED,HINDHARD,Hindustan Hardy Ltd,Active,XT,10.0,INE724D01011,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505978,Triton Valves Ltd,TRITONV,TRITON VALVES Ltd,Active,X ,10.0,INE440G01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506003,Sudal Industries Limited,SUDAI,SUDAL INDUSTRIES Ltd,Active,X ,10.0,INE618D01015,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506022,Prakash Industries Ltd,PRAKASH,PRAKASH INDUSTRIES Ltd,Active,A ,10.0,INE603A01013,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506024,HARIYANA VENTURES LIMITED,HVL,Hariyana Ventures Ltd,Active,ZP,10.0,INE219D01012,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506042,Prabhu Steel Industries Ltd,ZPRBHSTE,PRABHU STEEL INDUSTRIES Ltd,Active,XT,10.0,INE821R01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506076,Grindwell Norton Ltd,GRINDWELL,GRINDWELL NORTON Ltd-$,Active,A ,5.0,INE536A01023,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506079,Lakshmi Precision Screws Ltd,LAKPRE,LAKSHMI PRECISION SCREWS Ltd,Active,Z ,10.0,INE651C01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
506105,Stanrose Mafatlal Investments & Fin,STANROS,STANROSE MAFATLAL INVESTMENTS AND FINANCE Ltd,Active,X ,10.0,INE441L01015,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
